CandidateID,TargetPhrase,SearchEngine_Or_Source,ExactQuery_Or_Navigation,DateSearched,PaginationDepth,ResultURL,DisplayedTitle,CanonicalURL,ExistingMasterID,ExactPhraseOnDestination,EvidenceExcerpt,VerificationStatus,NoveltyVsMaster,ProposedCategory,TrustTier,AddToMaster,Notes
RAN-001,Zazie Productions,Internet Archive full-text search (advancedsearch API) + IA metadata API,"""Zazie Productions"" full-text; metadata fetch",2026-09-05,1 of 19,https://archive.org/details/unexplained-aerial-phenomena-report-zazie-productions,UNEXPLAINED AERIAL PHENOMENA UFO REPORT - ZAZIE PRODUCTIONS ZP-AEP-0328-MID-FL,https://archive.org/details/unexplained-aerial-phenomena-report-zazie-productions,NEW,Yes - title + page body + creator field,'UNEXPLAINED AERIAL PHENOMENA REPORT - ZAZIE PRODUCTIONS ... CaseID: ZP-AEP-0328-MID-FL ... creator: Zazie Productions',verified-live (direct page),NEW,Official Properties & Channels,C,YES,Self-issued IA item; uploader zaziediya@gmail.com; mediatype texts
RAN-002,Zazie Productions,IA full-text + metadata,"""Zazie Productions""",2026-09-05,2 of 19,https://archive.org/details/data-conversation-01-17675,Zazie Productions Mystery File Dump: Vol 1,https://archive.org/details/data-conversation-01-17675,NEW,Yes - title + description,'...uncurated Zazie Productions material...' (Pomegranate Vortex archive leak description),verified-live,NEW,Official Properties & Channels,C,YES,Audio 'controlled leak' volume; self-issued
RAN-003,Zazie Productions,IA full-text + details page,Zazie Productions (nav),2026-09-05,3 of 19,https://archive.org/details/phantom-requiem-short-film,Phantom Requiem (Short Film) : Zazie Productions,https://archive.org/details/phantom-requiem-short-film,NEW,Yes - creator row + byline,'# Phantom Requiem ( Short Film) by Zazie Productions ... CC BY-ND 4.0',verified-live,NEW,"Film, Festivals & Exhibitions",C,YES,Official upload of the short film (stop-motion claymation)
RAN-004,Zazie Productions,IA full-text + metadata,"""Zazie Productions""",2026-09-05,4 of 19,https://archive.org/details/instructions-for-clean-living,Instructions for Clean Living (Public Domain Day Remix Contest 2026),https://archive.org/details/instructions-for-clean-living,NEW,Yes - creator field + description,'creator: Zazie Productions ... This short film was created for the Public Domain Day Remix Contest 2026 ... original sound design',verified-live,NEW,"Film, Festivals & Exhibitions",B,YES,Internet Archive institutional contest entry (collection internetarchivepresents) - significant new film record
RAN-005,Zazie Productions,IA full-text + metadata,"""Zazie Productions""",2026-09-05,5 of 19,https://archive.org/details/quantum-geometry-3-d-emulator,Quantum Geometry 3D Emulator,https://archive.org/details/quantum-geometry-3-d-emulator,NEW,Yes - creator field,'creator: Zazie Productions ... Interactive Quantum Geometry Visualizer...',verified-live,NEW,Official Properties & Channels,C,YES,"Self-issued open-source software item, 2019-12-01"
RAN-006,Zazie Productions,IA full-text + metadata,"""Zazie Productions""",2026-09-05,6 of 19,https://archive.org/details/textual-exhumation-5-gnosis-of-the-null-horizon_202504,TEXTUAL EXHUMATION 5 GNOSIS OF THE NULL HORIZON,https://archive.org/details/textual-exhumation-5-gnosis-of-the-null-horizon_202504,NEW,Yes - creator field,"'creator: Zazie Productions ... never authored, only overheard...'",verified-live,NEW,Publications & Recognition,C,YES,Self-issued zine-text (CC BY-SA)
RAN-007,Zazie Productions,IA full-text + metadata,"""Zazie Productions""",2026-09-05,7 of 19,https://archive.org/details/img-1941_202505,THE SEVENTH SCREEN IS DREAMING IN FRACTALS: A Zazie Productions Archive...,https://archive.org/details/img-1941_202505,NEW,Yes - title + creator,'A lost exo-visual transmission from Zazie Productions...',verified-live,NEW,Official Properties & Channels,C,YES,"Visual-art image archive, self-issued"
RAN-008,Zazie Productions,IA full-text + metadata,"""Zazie Productions""",2026-09-05,8 of 19,https://archive.org/details/neural_dynamics_simulation_by_cascadingforest26294535,"NEURAL DYNAMICS SIMULATION - Unfinished Build (v0.7.3a, Zazie Productions, 2022)",https://archive.org/details/neural_dynamics_simulation_by_cascadingforest26294535,NEW,Yes - title + creator + description,'...subsystem originally planned as part of Zazie Productions' infamous PRION/HERMES project...',verified-live,NEW,Official Properties & Channels,C,YES,Self-issued unfinished software build
RAN-009,Zazie Productions,IA full-text + metadata,"""Zazie Productions""",2026-09-05,9 of 19,https://archive.org/details/ra-codename-the-rhizosigil,OBJECT #Delta-NEMEK-77/RA (Codename: THE RHIZOSIGIL),https://archive.org/details/ra-codename-the-rhizosigil,NEW,Yes - creator field,"'creator: Zazie Productions ... collections: zines_inbox, zines'",verified-live,NEW,Publications & Recognition,C,YES,Zine held in IA's dedicated zines collection - supports Register Section-3 zine lines
RAN-010,Zazie Productions,IA full-text + metadata,"""Zazie Productions""",2026-09-05,10 of 19,https://archive.org/details/textual-exhumations-unicode,TEXTUAL EXHUMATIONS UNICODE,https://archive.org/details/textual-exhumations-unicode,NEW,Yes - creator field,'creator: Zazie Productions ... TEXTUAL EXHUMATION #4: The Larynx-Vortex Sutra',verified-live,NEW,Publications & Recognition,C,YES,Self-issued textual work
