Engine,Class,Region_Language,EndpointTested,AccessMethod,DateUTC,AccessStatus,EngineConfig_Backend,Notes
Baidu,Regional (China),zh-CN / CJK,https://www.baidu.com/s?wd=%22Zazie%20Productions%22,fetch_page (platform fetcher),2026-09-05,Accessible; organic results NOT extractable server-side,Own index,"SERP renders; retrieved chunks contained hot-search chrome, no organic rows; needs interactive browser to read organic section. No exact-name evidence captured this pass."
Sogou,Regional (China),zh-CN,https://www.sogou.com/web?query=%22Zazie%20Productions%22,fetch_page,2026-09-05,BLOCKED (antispider captcha),Own index (Tencent),Redirected to /antispider verification page; IP+captcha wall.
360 Search (So.com),Regional (China),zh-CN,https://www.so.com/s?q=%22Zazie%20Productions%22,fetch_page,2026-09-05,WORKED,Own index,"Surfaced 2 Douyin/Qishui Music track pages ('Subliminal Failures', 'Stokes Diapir' by Zazie Productions) - Chinese index coverage of the music catalog. Destination URLs are so.com redirects; logged as leads."
Shenma,Regional (China),zh-CN,sm.cn (mobile app-only; no public web SERP),n/a,2026-09-05,Not testable via web,Own index (Alibaba/UC),Mobile-app-only search engine; no public desktop web interface.
Naver,Regional (Korea),ko,https://search.naver.com/search.naver?query=%22Zazie%20Productions%22,fetch_page,2026-09-05,Accessible; NO exact-name organic results,Own index,Page renders; AI briefing explicitly found no direct 'Zazie Productions' info and returned Zazie-Beetz noise. No organic hits.
Daum,Regional (Korea),ko,https://search.daum.net/search?q=%22Zazie%20Productions%22,fetch_page,2026-09-05,Accessible; zero organic results,Kakao index,Only related-search suggestions + AdSense returned; no organic rows.
Nate,Regional (Korea),ko,https://search.nate.com/search/all?q=%22Zazie%20Productions%22,fetch_page,2026-09-05,Accessible; zero organic results,Daum/Kakao-backed,Redirects to Daum/Nate combined SERP; empty organic section.
NAVER Encyclopedia surface,Regional (Korea),ko,terms.naver.com / dict.naver.com (via SERP tabs),fetch_page,2026-09-05,No exact-name records,Own encyclopedia,Encyclopedia/dict tabs reachable from SERP; no target-name entries.
Seznam,Regional (Czechia),cs,https://search.seznam.cz/?q=%22Zazie+Productions%22,fetch_page,2026-09-05,WORKED (own full-text index),Own index (Seznam robotnik),"Full organic SERP incl. pages deep in the tail (pebblesunderground.art, clongclongmoo tag, z-dimension, behance moodboards). Pagination to page 3 offered. All surfaced URLs cross-checked against master."
Coc Coc,Regional (Vietnam),vi,https://coccoc.com/search?query=%22Zazie%20Productions%22,fetch_page,2026-09-05,Unreachable from sandbox,Own index (VN),Fetch failed (service unreachable from this egress).
Petal Search,Regional (global/Huawei),en/multi,https://petalsearch.com/search?query=%22Zazie%20Productions%22,fetch_page,2026-09-05,Unreachable,Meta (multiple backends),Fetch failed.
Yandex (regional domains yandex.ru/.com/.tr),Regional (RU/CIS/TR),ru/multi,https://yandex.com/search/?text=%22Zazie%20Productions%22,fetch_page,2026-09-05,BLOCKED (SmartCaptcha) - covered via Mail.ru path,Own index,Direct SERP captcha-walled (consistent with Pass 1 audit).
Mail.ru Search,Regional (RU),ru,https://go.mail.ru/search?q=%22Zazie+Productions%22,fetch_page,2026-09-05,WORKED (Yandex-backed access path),Yandex index (banner: 'Yandex: naslos 2 tys. rezultatov'),"Bypasses Yandex captcha. Surfaced ok.ru artist, music.yandex.ru artist, artchive.ru bio, github profile-repo, Yandex Music playlist links."
Rambler,Regional (RU),ru,https://nova.rambler.ru/search?query=%22Zazie+Productions%22,fetch_page,2026-09-05,BLOCKED (Yandex SmartCaptcha),Meta (Yandex-backed),Robot-check interstitial.
Goo,Regional (Japan),ja,https://search.goo.ne.jp/web.jsp?MT=%22Zazie%20Productions%22,fetch_page,2026-09-05,Unreachable from sandbox,Meta (JP),Fetch failed.
Yahoo! JAPAN,Regional (Japan),ja,https://search.yahoo.co.jp/search?p=%22Zazie%20Productions%22,fetch_page,2026-09-05,WORKED,Google-backed (JP interface),"~7,570 count; page 1 all known/already-master surfaces; pagination 4 pages offered. Confirms Google-index coverage from JP interface."
Rakuten Infoseek,Regional (Japan),ja,https://search.infoseek.co.jp/Web?qt=%22Zazie%20Productions%22,fetch_page,2026-09-05,Unreachable from sandbox,Meta (JP),Fetch failed.
BIGLOBE Search,Regional (Japan),ja,https://search.biglobe.ne.jp/web?q=%22Zazie+Productions%22,fetch_page,2026-09-05,DEAD endpoint ('Not Found'),Meta (JP),Endpoint changed/removed.
Excite JAPAN (excite.co.jp),Regional (Japan),ja,https://www.excite.co.jp/search/Web?query=%22Zazie+Productions%22,fetch_page,2026-09-05,DISCONTINUED (404),Meta (JP),Web-search path returns site 404; service retired.
Walla! Search,Regional (Israel),he,https://search.walla.co.il/?q=%22Zazie+Productions%22,fetch_page,2026-09-05,WORKED,Google-backed (Hebrew interface),"~1,810 results; surfaced gumroad product page among known surfaces."
Search.ch,Regional (Switzerland),de/fr/it/en,https://www.search.ch/?q=%22Zazie+Productions%22,fetch_page,2026-09-05,WORKED; no relevant hits,Own tel-directory + web,Tel directory: no entries. Web: only Zazie-Beetz / 'Zazie dans le metro' noise.
Najdi.si,Regional (Slovenia),sl,https://www.najdi.si/search.jsp?q=%22Zazie+Productions%22,fetch_page,2026-09-05,Accessible; query dropped to portal home,Own index (SI),Search path redirected to portal front page; no SERP retrievable server-side.
SAPO,Regional (Portugal),pt,https://pesquisa.sapo.pt/?q=%22Zazie+Productions%22,fetch_page,2026-09-05,Unreachable from sandbox,Meta (PT),Fetch failed.
Rediff,Regional (India),en/hi,https://search.rediff.com/dirsrch/default.asp?MT=%22Zazie+Productions%22,fetch_page,2026-09-05,Unreachable from sandbox,Own index (IN),Fetch failed.
Egerin,Regional (Kurdish),ku,https://egerin.com/search?q=%22Zazie+Productions%22,fetch_page,2026-09-05,SEARCH ENDPOINT NON-FUNCTIONAL,Own index (Kurdish),URL served as a news article; the site now serves editorial content at that path - legacy SERP gone.
Yongzin,Regional (Tibetan),bo,https://www.yongzin.com/search?q=%22Zazie+Productions%22,fetch_page,2026-09-05,BLOCKED (HTTP 403),Own index (Tibetan),Access-control denial for non-browser fetch.
Leit.is,Regional (Iceland),is,https://leit.is/?q=%22Zazie+Productions%22,fetch_page,2026-09-05,Unreachable from sandbox,Google-backed (IS),Fetch failed.
Kagi,Independent (paid),en,https://kagi.com/search?q=%22Zazie+Productions%22,fetch_page,2026-09-05,LOGIN-GATED,Meta (own ranking),Redirects to sign-in; no anonymous access.
Mojeek,Independent (own crawler),en,https://www.mojeek.com/search?q=%22Zazie+Productions%22,fetch_page,2026-09-05,BLOCKED (ALTCHA challenge),Own index,Bot challenge; consistent with Pass 1.
Marginalia,Independent (own crawler),en,https://marginalia-search.com/search?query=%22Zazie+Productions%22 (retry after throttle),fetch_page,2026-09-05,WORKED (rate-limited; throttle banner shown),Own index (non-commercial crawl),Confirmed prior-pass set and re-surfaced camembertelectrique 'Frost Directive XIII' / 'Grief is a Hot Commodity' (already in master) + church-of-noisy-goat 'Post-Carbon Signal Rot / Comunion V.2.3' (new discovery -> logged as lead; track page not fetched this pass).
Wiby,Independent (classic-web index),en,https://wiby.me/?q=%22Zazie+Productions%22,fetch_page,2026-09-05,WORKED; ZERO results,Own index,Query executed ('That's everything I could find' = empty result set).
Brave Search,Independent (own crawler),en,https://search.brave.com/search?q=%22Zazie+Productions%22,fetch_page,2026-09-05,WORKED,Own index (+ Bing fallback),"Page 1 = known master surfaces (bandcamp, soundbetter, filmfreeway, itch, apple, slaps)."
Yep,"Independent (own crawler, Ahrefs)",en,https://yep.com/web?q=%22Zazie+Productions%22,fetch_page,2026-09-05,WORKED,Own index,"Surfaced NEW: spacehey profile, metapsychosis creative-agents page, equipboard (known), tinnitist tag (known), filmfreeway photos variant."
Qwant,Independent/meta (EU),en/fr,https://www.qwant.com/?q=%22Zazie+Productions%22&t=web,fetch_page,2026-09-05,Accessible but JS-GATED,Bing/Ecosia-backed (FR),Header-only server-side render; organic rows require JS.
Swisscows,Independent/meta (CH),en/de,https://swisscows.com/en/web?query=%22Zazie+Productions%22,fetch_page,2026-09-05,WORKED (snippet-level render; URLs not in server HTML),Bing-backed,Visible snippets = the 10 known master surfaces. No new.
Stract,Independent (own crawler),en,https://stract.com/search?q=%22Zazie+Productions%22,fetch_page,2026-09-05,DEAD (404),Own index,Project unavailable at tested path.
Gigablast (archival instances),Independent (defunct),en,gigablast.com / known archival mirrors,fetch_page,2026-09-05,NOT AVAILABLE,Own index (defunct 2022+),No public archival instance reachable; recorded as unavailable.
YaCy public node (searchlab.eu),Independent/P2P,en,https://yacy.searchlab.eu/yacysearch.html?query=%22Zazie+Productions%22,fetch_page,2026-09-05,WORKED; ZERO results on this node,P2P peer index,"0 local / 0 remote peers held the phrase; coverage is peer-dependent, retry other nodes possible."
Public SearXNG - opnxng.com,Meta (SearXNG),en,https://opnxng.com/search?q=%22Zazie+Kanwar-Torge%22,fetch_page,2026-09-05,WORKED,SearXNG (google cse + others),"Extended second-name coverage: IMDb, LinkedIn, Pulitzer, MUSE, Stage32, PRonTheGo, ViralNation known; surfaced Facebook-group comment + TicketTailor 'Swinewomb' credit (TicketTailor already in master)."
Public SearXNG - searx.be / tiekoetter,Meta (SearXNG),en,searx.be/search,fetch_page,2026-09-05,BLOCKED (captcha) - consistent with Pass 1,SearXNG,Not retried at depth.
