Section,PageURL,Media,Priority,Status,Name,Evidence,FoundOn,Context,NextAction
A,https://bipolarpoetry.com/the-bell-of-the-hollow-luxuries/,🔴,🥇A,✅,Prod,"Poem page, byline ""Zazie Productions"", dated 8 February 2026. Opens ""I am loved in a thousand / bright, well-meaning gestures.""",bipolarpoetry.com internal search (?s=Hollow+Luxuries) · 2026-09-05. Not indexed by Bing/Yahoo; site's author-name search returns nothing (body-text only).,"Poem ""The Bell of the Hollow Luxuries"" — Bipolar Poetry (Sydney, ed. Joseph Dunn; listed on pw.org)",
A,https://100subtextsmagazine.blogspot.com/2025/03/issue-31feature.html,🔴,🥇A,✅,Prod,"Editor's feature post (John Hopper), 1 Mar 2025: ""In this brand new issue of the literary magazine 100subtexts, we feature the writer, composer, filmmaker Zazie Productions, who brings us a stunning poem: Anchor and Ascend."" Image file 5 zazie productions.jpg.",Blogger RSS feed feeds/posts/default?q=Zazie · 2026-09-05 (HTML shell renders empty for non-JS fetch; feed body is the evidence),"100subtexts Magazine Issue 31 (UK) — poem ""Anchor and Ascend""",
A,https://www.lulu.com/shop/som/thresholds-a-micro-fiction-anthology/paperback/product-nvmmywe.html,🔴 🟣,🥇A,✅,Kanwar,"Publisher product page, ""Contributors: … Zach Keali'i Murphy, Zazie Kanwar-Torge"". Publication date Sep 3 2025, 75 pp, edited by SOM (Fresh Words: An International Literary Magazine).","Yahoo lulu.com SOM ""THRESHOLDS"" micro fiction anthology · 2026-09-05","THRESHOLDS: A Micro Fiction Anthology (35 writers, 100–200-word micro-fictions)",
A,https://www.poetryformentalhealth.org/anxiety-and-depression,🔴 🟣,🥇A,✅,Kanwar,"Book page, CONTENTS list: ""Poetry by Laura / Poetry by Zazie Kanwar-Torge / Poetry by Tina Carey…"". 7th title in the Poetry for Mental Health series, compiled by Robin Barratt; ISBN 9798284477878, 280 pp, 114 contributors; Amazon ASIN B0FCXQ5K2S (paperback) / B0FCSBRDSM (Kindle).","Brave ""Zazie Kanwar-Torge"" (result #3 of chunk 3) · 2026-09-05. Not in Yahoo index.","Anthology Anxiety & Depression (Poetry for Mental Health, UK)",
A,https://ogre.red/issues/2025-12/2025-12-introduction/,🔴,🥈B,✅,Both,"Editor's note for Red Ogre Review's 33rd issue: ""Music by: Zazie Kanwar-Torge | Zazie Productions"" (""Sul Ponticello Dreaming"").","Direct fetch after web_search ""Zazie Kanwar-Torge"" ""Red Ogre Review"" · 2026-09-05",Red Ogre Review Dec 2025 issue (ed. Matthew Bullen) — companion to the (baseline) contributor page ogre.red/issues/2025-12/2025-12-kanwar-torge-zazie/,
A,https://ogre.red/issues/2024-10/2024-10-introduction/,🔴,🥉C,✅,Both,Site-wide contributor sidebar/index lists the Dec 2025 Kanwar-Torge entry. Body text of the Oct 2024 issue itself does not mention Zazie.,web_search · 2026-09-05,Red Ogre Review navigation index (low value — same link repeats on every issue page; Feb 2025 issue confirmed no mention),
A,https://metapsychosis.com/creative-agents/zazie-productions/,🔴,🥈B,✅,Prod,"""Creative Agents"" contributor profile on Metapsychosis (Cosmos Co-op literary/arts journal): ""Zazie Productions, Asheville's clandestine autistic polymath… Commissioned by Black Mountain College at just 14…"". WP-API post_type=creative-agents id 14391, published 2025-02-23.","Yahoo ""Zazie Productions"" interview p1 · 2026-09-05",Journal contributor page (no linked article found yet — wp-json/wp/v2/posts?search=Zazie Productions returns []),
A,https://codex.churchofmalware.org/editions/ed001/,🔴,🥈B,✅,Prod,"Edition gallery: ""⛧ featured researchers ⛧ … ZAZIE PRODUCTIONS — Poison, The Well, Adversarial Audio, and Machine Learning"". Print editions via Mixam (Community Codex 001; DEFCON 34 Special Edition).",Direct fetch from (baseline) researcher page · 2026-09-05,Church of Malware Community Codex Edition I — Summer 2026 (11-page PDF paper researcher_zazie.pdf),
A,https://thewrong.org/2025-26,🟣 🔴,🥈B,✅,Prod,"Official 7th-edition catalogue page, ""2o25/26 artists: … Plamen Yordanov, Zhongyao Wang, Zazie Productions, Garrett Lynch IRL…"" (2,361 artists, 176 curators, Nov 1 2025 – Mar 31 2026).","web_search ""Zazie Productions"" ""Wrong Biennale"" · 2026-09-05","The Wrong Biennale 2025/26 — matches the 2026 Register's ""Wrong Biennale catalogue"" entry; pavilion page still unidentified (Lead)",
A,https://www.listennotes.com/podcasts/black-mountain/bmc-radio-art-zazie-atrX8jsp-6h/,🔴 🎙,🥈B,✅,Kanwar,"Show-notes mirror of BMC Radio Art episode (2021-12-15): ""Zazie Kanwar-Torge (they/them) is a composer and multi-instrumentalist living in Asheville…"".","Yahoo ""Zazie Kanwar-Torge"" p2 · 2026-09-05","Black Mountain College Museum + Arts Center podcast — ""Cheaper Impressions"" commission (podcast notes = text-led)",
