CandidateID,TargetPhrase,SearchEngine_Or_Source,ExactQuery_Or_Navigation,DateSearched,Rank_Page,Publication_Host,CandidatePageTitle,DisplayedURL,CanonicalURL,ExistingMasterID,ExactPhraseOnDestination,EvidenceExcerpt,Tier,FeatureQualificationDecision,DuplicateStatus,LiveStatus,Reason,NewRecordID,Notes
CAND-MZ-001,"Zazie Productions",Seed+MediaMaster+web_search,"""Zazie Productions"" magazine",2026-09-05,2-3/page1,Superpresent Magazine,"Superpresent Vol. 4 No. 3 — Suture Disruption (Percussive) p.66",https://superpresent.org/wp-content/uploads/2024/06/V4N3-pdf.pdf,https://superpresent.org/wp-content/uploads/2024/06/V4N3-pdf.pdf,MediaMaster Press-24,Yes,"Zazie Productions | Suture Disruption (Percussive) | 66",Tier A,Previously documented Tier A feature (newly verified PDF),Single canonical,Live+PDF live,Retained as feature: contributor entry meets magazine qualifier,ZP4-003,Visibility via web_search but canonical already in master
CAND-MZ-002,"Zazie Productions",Seed+MediaMaster+direct fetch,direct fetch rangermagazine.net/issue4,2026-09-05,,Ranger Magazine,"Ranger Magazine — Issue #4 2024 — Frostbite Fantasia",https://www.rangermagazine.net/issue4,https://www.rangermagazine.net/zazie_issue4,MediaMaster Press-25,Yes,"M Zazie Productions | T Joshua Martin …",Tier A,Previously documented Tier A feature (newly verified),Issue index + dedicated page = one feature,Live,Retained,ZP4-002,
CAND-MZ-003,"Zazie Productions",MediaMaster+direct fetch,direct fetch billboardwire.com,2026-09-05,,BillboardWire,"How an Underground Experimental Musician Became a Go-To Composer…",https://billboardwire.com/how-an-underground-experimental-musician-became-a-go-to-composer-for-psychological-horror/,same,MediaMaster Press-02,Yes,"Zazie Productions (tags + lead)",Tier A,Previously documented but newly verified,Single,Live,Retained,ZKT4-002,Both targets present
CAND-MZ-004,"Zazie Productions",MediaMaster+direct fetch,direct fetch indieam.com.mx,2026-09-05,,Indie AM,"Reseña: Zazie Productions y Unwashed Miscreant…",https://indieam.com.mx/2025/02/08/resena-zazie-productions-y-unwashed-miscreant-rompen-esquemas-con-cant-get-my-eyes-off-you-123/,same,MediaMaster Press-05,Yes,"Zazie Productions y Unwashed Miscreant",Tier A,Previously documented but newly verified,Single,Live,Retained,ZP4-005,
CAND-MZ-005,"Zazie Productions",MediaMaster+direct fetch,direct fetch shockwebradio.com,2026-09-05,,Shock Web Radio,"Zazie Productions y el experimento sonoro…",https://shockwebradio.com/musica/zazie-productions-y-el-experimento-sonoro-que-desafia-la-logica-cant-get-my-eyes-off-you-123/,same,MediaMaster Press-06,Yes,"Zazie Productions irrumpe con una propuesta",Tier A,Previously documented but newly verified,Single,Live,Retained,ZP4-007,
CAND-MZ-006,"Zazie Productions",Seed+direct fetch,direct fetch soundsgoodwebzine.com,2026-09-05,,Soundsgood Webzine,"Zazie Productions – “Can’t Get My Eyes Off You (123)”",https://www.soundsgoodwebzine.com/zazie-productions-cant-get-my-eyes-off-you-123/,same,Seed only,Yes,"Zazie Productions, il poliedrico autistico clandestino…",Tier A,Previously documented record reclassified as a feature + newly verified,Single,Live,Retained,ZP4-006,Was seed-only; now Tier A
CAND-MZ-007,"Zazie Productions",MediaMaster+direct fetch,direct fetch blackmountaincollege.org,2026-09-05,,Black Mountain College Museum,"BROADCAST: BMC RADIO ARTIST ZAZIE PRODUCTIONS",https://www.blackmountaincollege.org/broadcast-bmc-radio-artist-zazie-productions/,same,MediaMaster Press-20,Yes,"BMC Radio Artists … Zazie Productions, and Michael Hatch",Tier A,Previously documented but newly verified,Single,Live,Retained,ZP4-001,
CAND-MZ-008,"Zazie Kanwar-Torge",MediaMaster+direct fetch,direct fetch pulitzercenter.org,2026-09-05,,Pulitzer Center,"Zazie Kanwar-Torge, Finalist, Local Letters for Global Change",https://pulitzercenter.org/zazie-kanwar-torge-finalist-local-letters-global-change,same,MediaMaster Pub-02,Yes,"My name is Zazie Kanwar-Torge.",Tier A,Previously documented but newly verified,Single,Live,Retained,ZKT4-001,
CAND-MZ-009,"Zazie Productions",MediaMaster,"""Zazie Productions"" magazine (web_search) + FilmFreeway cross-link",2026-09-05,1-2,HEAVY Magazine,"ZAZIE PRODUCTIONS Unleash Eclectic Single…",https://heavymag.com.au/zazie-productions-unleash-eclectic-single-cant-get-my-eyes-off-you-123/,same,MediaMaster Press-04,Yes (search-index),"ZAZIE PRODUCTIONS Unleash Eclectic Single",Tier A,Previously documented Tier A feature,Single,Live (search-index),Retained,ZP4-004,Host not resolvable sandbox
CAND-MZ-010,"Zazie Productions",MediaMaster,"""Zazie Productions"" magazine",2026-09-05,1,Limitless Magazine,"Forget ASMR. Zazie Productions Will Rewire Your Whole Nervous System",https://limitless-magazine.com/forget-asmr-zazie-productions-will-rewire-your-whole-nervous-system/,same,MediaMaster Press-01,Yes (search-index),"Zazie Productions Will Rewire",Tier A,Previously documented,Single,Live (search-index),Retained,ZP4-009,
